27| |2177.1807,691.5747,11.4609|2350.339843,-1181.649902,1027.9766|567|2168.9766,698.6552,10.8140,0.1585|16|0|5|1
28|||2177.7219,734.6898,11.4609|2324.419921,-1145.568359,1050.0000|509|2185.6567,727.2391,10.9228,181.3284|28|0|12|1
29| |2346.6765,735.5319,11.4683|295.5504,1473.7441,1080.2578|416|2353.6252,727.6141,10.9661,181.8376|24|0|15|1
30|||2449.4114,742.6190,11.4609|234.2889,1065.8916,1084.2091|411|2441.2954,734.4527,10.9518,88.7638|15|0|6|1
31|||1931.3499,2722.5786,10.8203|-68.7216,1353.6740,1080.2109|411|1924.4185,2732.9705,10.5474,359.5033|10|0|6|1
32| |1950.7323,2723.2249,10.8203|-285.4230,1470.9763,1084.3750|560|1943.2971,2732.4985,10.4487,359.1125|16|0|15|1
33|FG.KuBo.RSK|2037.2820,2723.0947,10.8203|226.1048,1023.7214,1084.0078|598|2028.1281,2732.5249,10.4454,0.1662|40|490|7|1
34|[GroveST]or|1564.4873,2566.4824,10.8203|2317.8147,-1024.3467,1050.2109|411|1571.6804,2579.1350,10.5253,359.5379|30|0|9|1
35|FG_MHT_RSK|1958.3358,952.4631,10.8203|2576.5151,-1300.3757,1060.9844|603|1966.2687,946.5256,10.5471,180.2607|60|3900|2|2
36| |1932.3066,920.6001,10.8203|444.5215,509.3539,1001.4195|560|1932.3037,929.8693,10.3950,270.2976|9|0|12|1
37| |1922.3413,920.4639,10.8203|267.2935,304.8200,999.1484|411|1922.1647,929.8180,10.3911,270.3214|8|0|2|1
38||1912.3127,920.5037,10.8203|244.2455,305.1115,999.1484|545|1911.6963,929.7715,10.4622,269.7444|6|0|1|1
39||1902.3021,920.6202,10.8203|322.0839,302.8305,999.1484|557|1902.5439,929.7965,10.4593,270.2067|8|0|5|1
40||1892.2891,920.6457,10.8203|344.2968,305.1228,999.1484|402|1892.1764,929.8050,10.3990,270.0733|7|0|6|1
41| |1882.3613,920.5909,10.8203|292.3326,310.1513,999.1484|541|1882.1229,929.7922,10.3990,270.0732|5|0|3|1
42|Doom|2094.1252,774.0189,11.4531|140.3888,1368.2179,1083.8625|560|2088.0728,767.0822,10.9373,178.6378|30|270|5|3
43| |2093.3953,731.1895,11.4531|-262.6306,1456.6377,1084.3672|522|2085.7205,736.7341,11.0529,2.0338|26|0|4|3
44||2064.8870,730.4980,11.4683|224.2880,1289.0027,1082.1328|598|2058.3040,738.8826,10.8856,359.6629|20|0|1|3
45| |2043.2987,775.3736,11.4531|22.8610,1404.9165,1084.4297|562|2051.1536,767.7378,10.9069,179.8720|24|0|5|3
46| |2042.6467,732.1901,11.4609|260.8156,1238.5079,1084.2578|506|2048.5803,739.4163,10.9419,359.9126|16|0|9|3
47| |2013.9940,774.0063,11.4609|83.0779,1323.9667,1083.8594|559|2007.8799,767.4029,10.9662,179.6145|20|0|9|3
48| |2013.1576,730.9568,11.4531|2463.9368,-1698.4595,1013.5078|470|2005.2915,738.5756,10.9170,0.5019|14|0|2|3
49|[FG]CrosXXX[THC]|2205.9810,735.8062,11.4683|227.2596,1114.3514,1080.9979|603|2212.4553,727.0324,10.8471,179.8887|38|162|5|3
50| |2228.4165,690.7606,11.4605|2350.339843,-1181.649902,1027.9766|602|2221.5674,699.0239,10.8601,0.0452|16|0|5|3
51| |2346.5251,692.2545,11.4609|235.3678,1190.1337,1080.2578|597|2352.2114,698.4248,11.0133,358.9684|26|0|3|3
52|FG.HighTime.RSK|2368.2383,690.6582,11.4605|224.8657,1240.0043,1082.1406|495|2361.4309,698.4293,10.9057,0.9784|20|40|2|3
53| |2398.3840,735.5871,11.4609|261.0368,1286.5402,1080.2578|542|2406.0630,726.9572,10.8575,180.5782|18|0|4|3
54| |2449.9319,714.0611,11.4683|234.2889,1065.8916,1084.2091|506|2442.1082,707.1378,10.9073,91.6057|16|0|6|3
55|arel101l|2449.5398,662.5382,11.4609|-68.7216,1353.6740,1080.2109|587|2442.4099,654.9009,10.9534,91.3504|10|30|6|3
56|HaYotoPL|2317.8943,655.6149,11.4531|221.8656,1142.9839,1082.6094|422|2325.6038,647.1525,10.8644,179.8616|16|104|4|3
57|MrKowalski|2206.5701,655.8645,11.4683|226.1048,1023.7214,1084.0078|411|2213.1760,647.6335,10.8912,180.3957|25|700|7|3
58||2178.1719,655.3432,11.4609|301.6964,306.0839,1003.5391|439|2186.0256,647.1158,10.8765,179.6133|16|0|4|3
